row_id,order_id,created_at,item_id,quantity,cust_name,in_or_out
1,ORD001,2/12/2024 7:04,It008,1,Avery,out
2,ORD002,2/12/2024 7:09,It014,1,Jordan,in
3,ORD003,2/12/2024 7:14,It008,1,Riley,out
4,ORD004,2/12/2024 7:18,It019,1,Casey,out
5,ORD005,2/12/2024 7:23,It024,1,Skyler,out
6,ORD006,2/12/2024 7:28,It001,1,Morgan,out
7,ORD006,2/12/2024 7:28,It016,1,Morgan,to go
8,ORD007,2/12/2024 7:33,It005,1,Riley,out
9,ORD007,2/12/2024 7:33,It020,1,Riley,
10,ORD008,2/12/2024 7:39,it006,1,Cameron,OUT
11,ORD008,2/12/2024 7:39,It018,1,Cameron,
12,ORD009,2/12/2024 7:44,It023,1,Quinn,out
13,ORD009,2/12/2024 7:44,It011,1,Quinn,
14,ORD010,2/12/2024 7:49,It024,1,Peyton,out
15,ORD010,2/12/2024 7:49,It014,1,Peyton,in
16,ORD011,2/12/2024 7:53,It003,1,JORDAN ,out
17,ORD012,2/12/2024 7:58,It007,1,Blake,out
18,ORD013,2/12/2024 8:03,It009,1,Charlie,in
19,ORD013,2/12/2024 8:03,It021,1,Charlie,
20,ORD014,2/12/2024 8:08,It012,1,Dakota,in
21,ORD014,2/12/2024 8:08,It022 ,1,Dakota,
22,ORD015,2/12/2024 8:12,It004,1,Emerson,out
23,ORD016,2/12/2024 8:17,It002,1,Finley, Togo 
24,ORD017,2/12/2024 8:22,It001,1,Harper,in
25,ORD018,2/12/2024 8:26,It014,1,Jordan,out
26,ORD019,2/12/2024 8:31,It011,1,M. Smith,in
27,ORD020,2/12/2024 8:36,It017,1,Morgan,out
28,ORD020,2/12/2024 8:36,It020,1,Chris,
29,ORD021,2/12/2024 8:41,It005,1,Morgan,out
30,ORD022,2/12/2024 8:45,It006,1,Niam,in
31,ORD022,2/12/2024 8:45,It014,1,Unknown,
32,ORD023,2/12/2024 8:50,It008,1,Alex,out
33,ORD024,2/12/2024 8:55,It016,1,Jordan,out
34,ORD025,2/12/2024 9:00,It006,1,Taylor,out
35,ORD026,2/12/2024 9:04,it019,1,Casey,in
36,ORD027,2/12/2024 9:09, It009,1,Jamie,out
37,ORD028,2/12/2024 9:14,It001,1,Sam,in
38,ORD028,2/12/2024 9:14,It016,1,Morgan,
39,ORD029,2/12/2024 9:19,It005,1,Riley,carry out
40,ORD029,2/12/2024 9:19,It020,1,Riley,
41,ORD029,2/12/2024 9:19,It012,1,Drew,
42,ORD030,2/12/2024 9:35,it004,1,Jordan,IN
43,ORD031,2/12/2024 9:48,It021,1,Harper,out
44,ORD032,2/12/2024 10:02,It007,1,Casey,out
45,ORD033,2/12/2024 10:17,It0010,1,Niam,out
46,ORD034,2/12/2024 10:33,It017,1,Alex,in
47,ORD035,2/12/2024 10:50,It009,1,Jamie,out
48,ORD036,2/12/2024 11:08,It018,1,Taylor,out
49,ORD037,2/12/2024 11:27,It005,1,Quinn,in
50,ORD037,2/12/2024 11:27,It002,1,JORDAN ,
51,ORD038,2/12/2024 12:08,It015,1,Jasmin,IN
52,ORD038,2/12/2024 12:08,It003,1,Peyton,pickup
53,ORD038,2/12/2024 12:08,It016,1,Peyton,
54,ORD039,2/12/2024 12:10,It005,1,Riley,out
55,ORD039,2/12/2024 12:10,It020,1,Riley,
56,ORD040,2/12/2024 12:11,It006,1,Robin,out
57,ORD040,2/12/2024 12:11,It018,1,Cameron,take-out
58,ORD041,2/12/2024 12:16,It023,1,Quinn,in
59,ORD041,2/12/2024 12:16,It011,1,Quinn,
60,ORD041,2/12/2024 12:16,It011,1,Quinn,
61,ORD042,2/12/2024 12:18,It004 ,1,  alex,out
62,ORD043,2/12/2024 12:21,It022,1,Jamie,out
63,ORD044,2/12/2024 12:23,It018,1,Riley,carry out
64,ORD045,2/12/2024 12:26,It017,1,Jamie,in
65,ORD046,2/12/2024 12:29,It009,1,Casey,out
66,ORD047,2/12/2024 12:32,It009,1,Brooke,in
67,ORD048,2/12/2024 12:35,It012,1,Jamie,take-out
68,ORD049,2/12/2024 12:38,It005,1,Peyton,in
69,ORD050,2/12/2024 12:41,It019 ,1,Morgan,out
70,ORD051,2/12/2024 12:44,It020,1,Sam,in
71,ORD052,2/12/2024 12:47,It021,1,Cameron,
72,ORD053,2/12/2024 12:50,It014,1,Avery,in
73,ORD054,2/12/2024 12:53,It016 ,4,Quinn,out
74,ORD055,2/12/2024 12:56,It023,1,Taylor,out
75,ORD056,2/12/2024 12:59, It020,,Chris,out
76,ORD057,2/12/2024 13:02,It013,1,Riley,in
77,ORD058,2/12/2024 13:05,It001,1,Alex, dine in
78,ORD059,2/12/2024 13:08,It003,1,Casey,Take Out
79,ORD060,2/12/2024 13:11,It008,1,Brooke,out
80,ORD061,2/12/2024 13:13,It002,,Jordan,in
